,post_id,text,post_text,shared_text,time,image,likes,comments,shares,post_url,link
0,1548570171956827,"【長榮航空 #新型冠狀病毒肺炎資訊專區 】
請由此進👉 http://bit.ly/396U7cl

⚠3-4月兩岸港澳、韓國線航班公告 http://bit.ly/3cmiC7U
⚠(03.14更新) 退改票辦法 http://bit.ly/2RTpm51
📍大陸內地及港澳航線
📍法國/奧地利/荷蘭/英國航線
📍北海道 - 札幌/函館航班
📍新加坡/日本航線
📍韓國航線… More
📍菲律賓航線
📍普吉島航線
📍米蘭航線
📍2020台灣地區寒假假期調整
📍2020台灣地區暑假假期調整
📍越南航線

【線上申請】
⚠取消行程 https://bit.ly/2SZIJJX
‼僅限取消全部行程，詳閱網頁說明‼
⚠退票申請 https://bit.ly/2uz8ac4
⚠更改訂位 https://bit.ly/3a4r8Gt
⚠ EMAIL協助機位修改 http://bit.ly/3c4QUMR

【查詢更多資訊】… More","【長榮航空 #新型冠狀病毒肺炎資訊專區 】
請由此進👉 http://bit.ly/396U7cl

⚠3-4月兩岸港澳、韓國線航班公告 http://bit.ly/3cmiC7U
⚠(03.14更新) 退改票辦法 http://bit.ly/2RTpm51
📍大陸內地及港澳航線
📍法國/奧地利/荷蘭/英國航線
📍北海道 - 札幌/函館航班
📍新加坡/日本航線
📍韓國航線… More
📍菲律賓航線
📍普吉島航線
📍米蘭航線
📍2020台灣地區寒假假期調整
📍2020台灣地區暑假假期調整
📍越南航線

【線上申請】
⚠取消行程 https://bit.ly/2SZIJJX
‼僅限取消全部行程，詳閱網頁說明‼
⚠退票申請 https://bit.ly/2uz8ac4
⚠更改訂位 https://bit.ly/3a4r8Gt
⚠ EMAIL協助機位修改 http://bit.ly/3c4QUMR

【查詢更多資訊】… More",,2020-02-06 17:00:21,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/86776618_1561504727330038_4282024897384808448_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=TvtqBWIB94EAX-1g4_r&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=9f18c5c92505a4bf4b6adcad45a94f6a&oe=5E962BE6,965,533,0,https://m.facebook.com/story.php?story_fbid=1548570171956827&id=143039229176602,https://bit.ly/396U7cl
1,1585665571580620,"一起來祝賀 戴資穎/ Tai Tzu Ying 重返球后寶座
真的太棒惹🎉🎉🎉🎉🎉

今天凌晨小戴在超級1000系列全英羽球公開賽女單決賽
力退強敵，拿下生涯第三座全英公開賽冠軍獎座，
奪冠次數為「21世紀女單之最」。

#再次重返世界球后寶座 #小戴太強了 #長榮航空 #EVAAIR
戴資穎/ Tai Tzu Ying
Yesterday at 6:18 PM ·
謝謝我的最強陣容，還有謝謝大家的支持❤️
Thanks for all your support 🙏🏻🙏🏻🙏🏻
VICTOR 勝利體育
合作金庫銀行羽球隊
EVA Airways Corp. 長榮航空
中華電信MOD
麥當勞
Red Bull
Kingston Technology
長庚運動醫學團隊… More
台北市立大學
國家運動訓練中心 National Sports Training Center
中華民國羽球協會","一起來祝賀 戴資穎/ Tai Tzu Ying 重返球后寶座
真的太棒惹🎉🎉🎉🎉🎉

今天凌晨小戴在超級1000系列全英羽球公開賽女單決賽
力退強敵，拿下生涯第三座全英公開賽冠軍獎座，
奪冠次數為「21世紀女單之最」。

#再次重返世界球后寶座 #小戴太強了 #長榮航空 #EVAAIR","戴資穎/ Tai Tzu Ying
Yesterday at 6:18 PM ·
謝謝我的最強陣容，還有謝謝大家的支持❤️
Thanks for all your support 🙏🏻🙏🏻🙏🏻
VICTOR 勝利體育
合作金庫銀行羽球隊
EVA Airways Corp. 長榮航空
中華電信MOD
麥當勞
Red Bull
Kingston Technology
長庚運動醫學團隊… More
台北市立大學
國家運動訓練中心 National Sports Training Center
中華民國羽球協會",2020-03-16 12:00:13,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/89532349_2811712282209274_4648006095833399296_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=f-k4ROUjS6UAX8YZvqO&_nc_ht=scontent-tpe1-1.xx&tp=14&oh=8b5f943d658281d02c76eb435c3685ec&oe=5E95448E,1731,23,11,https://m.facebook.com/story.php?story_fbid=2811723352208167&id=164965326883996,
2,1583238095156701,"不論幾歲，有個另一半都要好好疼愛喔❤️
#小潔關心你 #趁著節日趕快示愛為感情增溫吧
#feat空少小熊 #白色情人節限定愛的故事","不論幾歲，有個另一半都要好好疼愛喔❤️
#小潔關心你 #趁著節日趕快示愛為感情增溫吧
#feat空少小熊 #白色情人節限定愛的故事",,2020-03-14 10:14:08,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/89254878_1583237758490068_7956087381495382016_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=I6bnjS0UcIkAX__d7nU&_nc_ht=scontent-tpe1-1.xx&tp=14&oh=a8e9d1e030b78ac930993d0f644bcf06&oe=5E964FB5,1660,28,0,https://m.facebook.com/story.php?story_fbid=1583238095156701&id=143039229176602,
3,1580013955479115,"飛航人員招募中👨‍✈👩‍✈

趕快點進來收看👀　長榮航空2020機師校園招募說明會快閃活動
今年的校園招募活動，因為疫情關係改成 #線上直播 🎥
3、4月都有許多場招募說明會，北中南大專院校通通有~
小潔覺得透過直播跟學長姐互動，離藍天的夢想感覺更近了呢！

我要報名飛行員👉 http://bit.ly/38BLm9q

#長榮航空 #EVAAIR #避免群聚 #健康是成為機師的第一步 #學長姐來溜
SC.PIEE.PW
【長榮航空2020機師校園招募】","飛航人員招募中👨‍✈👩‍✈

趕快點進來收看👀　長榮航空2020機師校園招募說明會快閃活動
今年的校園招募活動，因為疫情關係改成 #線上直播 🎥
3、4月都有許多場招募說明會，北中南大專院校通通有~
小潔覺得透過直播跟學長姐互動，離藍天的夢想感覺更近了呢！

我要報名飛行員👉 http://bit.ly/38BLm9q

#長榮航空 #EVAAIR #避免群聚 #健康是成為機師的第一步 #學長姐來溜","SC.PIEE.PW
【長榮航空2020機師校園招募】",2020-03-10 17:00:08,https://external-tpe1-1.xx.fbcdn.net/safe_image.php?d=AQAIMk4B7XeoHip0&w=476&h=249&url=http%3A%2F%2Fcdn.illu.es%2Fstatic%2Fimages%2FBB60494A-9446-5A00-BC55-9B90EFE48C44.png&cfs=1&jq=75&sx=0&sy=1&sw=720&sh=377&ext=jpg&_nc_hash=AQDeXZa2fk6hfD6t,1321,53,74,https://m.facebook.com/story.php?story_fbid=1580013955479115&id=143039229176602,https://bit.ly/38BLm9q
4,1574499762697201,"#機上放大鏡
3月份的長榮航空機上雜誌enVoyage
為大家介紹化腐朽為神奇的✨新加坡設計師JJ莊逸馨

你買過錄音帶嗎❓
你有聽過錄音帶嗎❓❓
(我買過還珠格格的😅😅

錄音帶是聚酯纖維磁帶，這種塑膠成分是無法透過生物分解的；JJ秉著「讓垃圾與回憶變得美麗」的信念，創作永續發展的美麗設計。… More

快點進來看更多美麗的圖片😍😍
Special Thanks to Rehyphen

#長榮航空 #EVAAIR #enVoyage #享受不會對地球和人類造成破壞性影響的美好事物 #Rehyphen","#機上放大鏡
3月份的長榮航空機上雜誌enVoyage
為大家介紹化腐朽為神奇的✨新加坡設計師JJ莊逸馨

你買過錄音帶嗎❓
你有聽過錄音帶嗎❓❓
(我買過還珠格格的😅😅

錄音帶是聚酯纖維磁帶，這種塑膠成分是無法透過生物分解的；JJ秉著「讓垃圾與回憶變得美麗」的信念，創作永續發展的美麗設計。… More

快點進來看更多美麗的圖片😍😍
Special Thanks to Rehyphen

#長榮航空 #EVAAIR #enVoyage #享受不會對地球和人類造成破壞性影響的美好事物 #Rehyphen",,2020-03-09 12:00:41,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/88309109_1574498429364001_4041957116259336192_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=t22ahoydcJAAX-eiS4f&_nc_ht=scontent-tpe1-1.xx&tp=14&oh=7e87591465c1bce1cccc6d3405be3c1c&oe=5E96BFFC,459,10,0,https://m.facebook.com/story.php?story_fbid=1574499762697201&id=143039229176602,
5,1573594409454403,"慶祝婦女節🎉🎉🎉
和小潔分享你 #生命中重要的女性 吧~
謝謝她們為我們的付出與各種包容🤣🤣
#謝謝媽媽 #謝謝外婆 #謝謝阿嬤 #謝謝老婆 #謝謝女朋友 #謝謝姊妹","慶祝婦女節🎉🎉🎉
和小潔分享你 #生命中重要的女性 吧~
謝謝她們為我們的付出與各種包容🤣🤣
#謝謝媽媽 #謝謝外婆 #謝謝阿嬤 #謝謝老婆 #謝謝女朋友 #謝謝姊妹",,2020-03-06 12:00:44,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/88205487_1573594362787741_5720685074341429248_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=r9RWA1yw6vwAX8Km5fx&_nc_ht=scontent-tpe1-1.xx&tp=14&oh=60ceab76b7901b345498ef14c71fb55c&oe=5E949C1D,397,13,0,https://m.facebook.com/story.php?story_fbid=1573594409454403&id=143039229176602,
6,1575453142601863,"#春的京料理 #機上放大鏡

出國前先看看機上的美食😋😋
隔著螢幕也覺得豪豪吃的港覺R~
正巧午餐時分也快到惹～
決定好要吃什麼了嗎❓

‼台北往巴黎、東京（成田）、大阪的皇璽桂冠艙∕桂冠艙∕商務艙限定‼

#長榮航空 #EVAAIR #中村元計 #米其林三星","#春的京料理 #機上放大鏡

出國前先看看機上的美食😋😋
隔著螢幕也覺得豪豪吃的港覺R~
正巧午餐時分也快到惹～
決定好要吃什麼了嗎❓

‼台北往巴黎、東京（成田）、大阪的皇璽桂冠艙∕桂冠艙∕商務艙限定‼

#長榮航空 #EVAAIR #中村元計 #米其林三星",,2020-03-05 12:00:52,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/87717214_1575481815932329_8570073190049513472_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=1CrqolA-vOYAX-levDU&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=a5eaf4922b1960eee683750b7583cb25&oe=5E967C14,829,25,0,https://m.facebook.com/story.php?story_fbid=1575453142601863&id=143039229176602,
7,1572839166196594,"#春日開運GOGO購 🛍
🎉全館2件9折，3件(含)以上85折
🎉選購任2件(含)以上長榮獨家館別商品
🎁送長榮航空「I LOVE FLYING💞」鑰匙圈乙個🎁
‼部份商品不適用此活動，本活動不可再與其他優惠方案合併使用‼

🛒🛒更多優惠詳情👇👇
http://bit.ly/2TdyIsH

#長榮獨家 #小熊新登場 #便條紙設計超棒der #長榮航空 #EVAAIR","#春日開運GOGO購 🛍
🎉全館2件9折，3件(含)以上85折
🎉選購任2件(含)以上長榮獨家館別商品
🎁送長榮航空「I LOVE FLYING💞」鑰匙圈乙個🎁
‼部份商品不適用此活動，本活動不可再與其他優惠方案合併使用‼

🛒🛒更多優惠詳情👇👇
http://bit.ly/2TdyIsH

#長榮獨家 #小熊新登場 #便條紙設計超棒der #長榮航空 #EVAAIR",,2020-03-03 12:00:40,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/88325799_1572839102863267_8955981743966388224_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=_SqQEw0u0toAX8lUHZb&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=836422ac8ba63ffe2fdce56b5e1bdb4b&oe=5E963AB5,356,9,0,https://m.facebook.com/story.php?story_fbid=1572839166196594&id=143039229176602,https://bit.ly/2TdyIsH
8,1561643470649497,"#喘口氣迎接連假
很多人都有在機上看電影的經驗😎😎
不過～你印象最深的機上電影是哪一部呢？
最新片單👉👉 http://bit.ly/2HDRnrk

🏆奧斯卡男女主角熱門：小丑、茱蒂看過了嗎？
#喜劇片 #愛情片 #劇情片 #動作片 #長榮航空 #好萊塢 #國片","#喘口氣迎接連假
很多人都有在機上看電影的經驗😎😎
不過～你印象最深的機上電影是哪一部呢？
最新片單👉👉 http://bit.ly/2HDRnrk

🏆奧斯卡男女主角熱門：小丑、茱蒂看過了嗎？
#喜劇片 #愛情片 #劇情片 #動作片 #長榮航空 #好萊塢 #國片",,2020-02-27 17:00:43,,601,80,0,https://m.facebook.com/story.php?story_fbid=1561643470649497&id=143039229176602,https://bit.ly/2HDRnrk
9,1560454467435064,"#歡迎文人雅士 #文末贈獎
莫札特與布魯克納，相差百年的偉大作曲家，
從古典主義橫跨浪漫主義的洪流；

以 #莫札特 的 #鋼琴協奏曲 作為開場，
鋼琴化作主角，給聽眾可柔可剛的聽覺享受；
#布魯克納 的C小調第八號交響曲
是德奧樂史上結構之複雜、演奏難度之高的曲子，
這場音樂會只有兩首歌可能也是因為這首歌真～的～很～長！
📍時間：2020.03.15 14:30 準時開始
🎵導聆13:40 開始🎵
📍地點：國家音樂廳
📍主題：聖神降臨

🎁小潔贈票🎁 #請留言💬
考考大家！長榮航空飛奧地利是甚麼機型呢？
484太簡單🤣，欸答案不是484喔(賣鬧

我們會抽出15位幸運的朋友，可攜伴1位😍😍
⏰活動截止時間：2020.02.28 16:00⏰

#長榮交響樂團 #2020做個氣質美女 #長榮航空 #EVAAIR","#歡迎文人雅士 #文末贈獎
莫札特與布魯克納，相差百年的偉大作曲家，
從古典主義橫跨浪漫主義的洪流；

以 #莫札特 的 #鋼琴協奏曲 作為開場，
鋼琴化作主角，給聽眾可柔可剛的聽覺享受；
#布魯克納 的C小調第八號交響曲
是德奧樂史上結構之複雜、演奏難度之高的曲子，
這場音樂會只有兩首歌可能也是因為這首歌真～的～很～長！
📍時間：2020.03.15 14:30 準時開始
🎵導聆13:40 開始🎵
📍地點：國家音樂廳
📍主題：聖神降臨

🎁小潔贈票🎁 #請留言💬
考考大家！長榮航空飛奧地利是甚麼機型呢？
484太簡單🤣，欸答案不是484喔(賣鬧

我們會抽出15位幸運的朋友，可攜伴1位😍😍
⏰活動截止時間：2020.02.28 16:00⏰

#長榮交響樂團 #2020做個氣質美女 #長榮航空 #EVAAIR",,2020-02-26 12:00:29,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/87561497_1568248666655644_3712488487061028864_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=jCflI2p2QtQAX_CVxnm&_nc_ht=scontent-tpe1-1.xx&tp=14&oh=e13ebdff274aca0407445a224e888c36&oe=5E96AC4B,609,461,0,https://m.facebook.com/story.php?story_fbid=1560454467435064&id=143039229176602,
